id,agent,unit,group
11972,agent,unit,2
11967,agent,unit,1
22920,agent,unit,3
22921,agent,unit,3
22922,agent,unit,3
22923,agent,unit,3
22924,agent,unit,1
22925,agent,unit,2
22926,agent,unit,3
22927,agent,unit,1
22928,agent,unit,3
22929,agent,unit,4
22930,agent,unit,3
11963,agent,unit,2
11966,agent,unit,1
11970,agent,unit,3
11986,agent,unit,3
11961,agent,unit,2
11909,agent,unit,3
11993,agent,unit,3
22937,agent,unit,3
11905,agent,unit,3
11964,agent,unit,3
22976,agent,unit,3
11914,agent,unit,3
11915,agent,unit,2
22967,agent,unit,5
11934,agent,unit,3
22971,agent,unit,3
22973,agent,unit,3
22974,agent,unit,3
22975,agent,unit,3
22977,agent,unit,3
22978,agent,unit,3
22979,agent,unit,3
22980,agent,unit,3
22981,agent,unit,3
22982,agent,unit,3
22983,agent,unit,3
22984,agent,unit,2
22985,agent,unit,3
11917,agent,unit,2
22989,agent,unit,2
11969,agent,unit,3
11989,agent,unit,2
11913,agent,unit,4
11916,agent,unit,5
23006,agent,unit,3
23007,agent,unit,2
23012,agent,unit,3
11910,agent,unit,4
23014,agent,unit,4
11990,agent,unit,3
23052,agent,unit,3
23075,agent,unit,1
23057,agent,unit,3
23058,agent,unit,5
23059,agent,unit,5
23060,agent,unit,3
23061,agent,unit,4
23062,agent,unit,1
23063,agent,unit,1
23064,agent,unit,3
23065,agent,unit,3
23066,agent,unit,3
23067,agent,unit,2
23068,agent,unit,3
23069,agent,unit,3
23086,agent,unit,1
11921,agent,unit,2
23090,agent,unit,4
23091,agent,unit,4
11922,agent,unit,1
23109,agent,unit,3
23110,agent,unit,2
23111,agent,unit,3
23112,agent,unit,4
23113,agent,unit,3
23114,agent,unit,2
23115,agent,unit,3
23116,agent,unit,3
23117,agent,unit,3
23118,agent,unit,5
23119,agent,unit,3
23120,agent,unit,3
23121,agent,unit,3
23124,agent,unit,2
23125,agent,unit,3
23126,agent,unit,3
23128,agent,unit,3
23129,agent,unit,3
11918,agent,unit,3
12134,agent,unit,3
23143,agent,unit,2
23144,agent,unit,4
23145,agent,unit,2
23146,agent,unit,1
23147,agent,unit,3
23148,agent,unit,3
23149,agent,unit,4
23150,agent,unit,1
23151,agent,unit,2
23152,agent,unit,3
23153,agent,unit,4
23154,agent,unit,2
23155,agent,unit,3
23156,agent,unit,3
23157,agent,unit,2
23158,agent,unit,3
23159,agent,unit,3
23160,agent,unit,3
23161,agent,unit,3
23162,agent,unit,2
11871,agent,unit,2
11875,agent,unit,1
11920,agent,unit,1
11867,agent,unit,3
11868,agent,unit,4
11872,agent,unit,3
23184,agent,unit,3
23185,agent,unit,3
23186,agent,unit,3
23187,agent,unit,3
23188,agent,unit,3
23189,agent,unit,1
23190,agent,unit,4
23191,agent,unit,3
23192,agent,unit,4
23193,agent,unit,2
23194,agent,unit,4
23195,agent,unit,4
23196,agent,unit,4
23197,agent,unit,4
23198,agent,unit,2
23199,agent,unit,4
23200,agent,unit,2
23201,agent,unit,4
23202,agent,unit,2
23203,agent,unit,3
23204,agent,unit,2
23205,agent,unit,2
23206,agent,unit,4
23207,agent,unit,5
23208,agent,unit,4
11919,agent,unit,5
11923,agent,unit,3
23212,agent,unit,2
11869,agent,unit,4
11883,agent,unit,4
23229,agent,unit,4
11878,agent,unit,3
23231,agent,unit,4
23232,agent,unit,2
23233,agent,unit,4
23234,agent,unit,3
23235,agent,unit,3
23236,agent,unit,4
23237,agent,unit,4
23238,agent,unit,4
23239,agent,unit,4
23240,agent,unit,2
23241,agent,unit,4
23242,agent,unit,4
23243,agent,unit,2
23244,agent,unit,4
23245,agent,unit,1
23246,agent,unit,3
23247,agent,unit,3
23249,agent,unit,3
23250,agent,unit,4
23251,agent,unit,2
23252,agent,unit,2
23253,agent,unit,1
23254,agent,unit,4
23255,agent,unit,3
23256,agent,unit,1
11884,agent,unit,3
10,agent,unit,4
11881,agent,unit,3
23260,agent,unit,2
11880,agent,unit,1
11882,agent,unit,4
11876,agent,unit,4
23274,agent,unit,4
23275,agent,unit,2
23276,agent,unit,2
23277,agent,unit,3
23278,agent,unit,3
23279,agent,unit,4
23280,agent,unit,2
23281,agent,unit,4
23282,agent,unit,4
23283,agent,unit,4
23284,agent,unit,2
23285,agent,unit,2
23286,agent,unit,4
23287,agent,unit,5
23288,agent,unit,3
23289,agent,unit,2
23290,agent,unit,4
23291,agent,unit,4
23292,agent,unit,2
23293,agent,unit,4
23294,agent,unit,4
23295,agent,unit,2
23296,agent,unit,4
11874,agent,unit,4
11877,agent,unit,2
23306,agent,unit,2
23317,agent,unit,4
23318,agent,unit,2
23319,agent,unit,2
23320,agent,unit,4
23321,agent,unit,1
23322,agent,unit,3
23323,agent,unit,5
23324,agent,unit,4
23325,agent,unit,2
23326,agent,unit,2
23327,agent,unit,2
23328,agent,unit,4
23329,agent,unit,4
23330,agent,unit,3
23331,agent,unit,2
23332,agent,unit,3
23333,agent,unit,2
23334,agent,unit,4
23335,agent,unit,4
23336,agent,unit,4
23337,agent,unit,4
23338,agent,unit,4
23339,agent,unit,4
23340,agent,unit,2
23341,agent,unit,4
23342,agent,unit,4
23343,agent,unit,3
23344,agent,unit,3
23346,agent,unit,2
11870,agent,unit,3
23351,agent,unit,4
11879,agent,unit,4
23370,agent,unit,4
23371,agent,unit,3
23372,agent,unit,1
23373,agent,unit,3
23374,agent,unit,3
23375,agent,unit,4
23376,agent,unit,2
23377,agent,unit,4
23378,agent,unit,4
23379,agent,unit,4
23380,agent,unit,4
23381,agent,unit,3
23382,agent,unit,4
23383,agent,unit,1
23384,agent,unit,4
23385,agent,unit,3
23386,agent,unit,3
23387,agent,unit,3
23388,agent,unit,2
23389,agent,unit,4
23390,agent,unit,2
23391,agent,unit,4
23392,agent,unit,3
23393,agent,unit,3
23394,agent,unit,4
23395,agent,unit,2
23396,agent,unit,3
23397,agent,unit,2
23398,agent,unit,4
23399,agent,unit,3
23400,agent,unit,4
23401,agent,unit,3
23402,agent,unit,3
23403,agent,unit,3
23410,agent,unit,3
11889,agent,unit,3
11890,agent,unit,3
11900,agent,unit,3
23424,agent,unit,3
23425,agent,unit,3
23426,agent,unit,3
23427,agent,unit,3
23428,agent,unit,3
23429,agent,unit,4
23430,agent,unit,1
23431,agent,unit,3
23432,agent,unit,2
23433,agent,unit,4
23434,agent,unit,3
23435,agent,unit,3
23436,agent,unit,4
23437,agent,unit,2
23438,agent,unit,1
23439,agent,unit,3
23440,agent,unit,3
23441,agent,unit,4
23442,agent,unit,3
23443,agent,unit,3
23444,agent,unit,4
23445,agent,unit,3
23446,agent,unit,3
23447,agent,unit,2
23448,agent,unit,2
23449,agent,unit,2
23450,agent,unit,4
23451,agent,unit,5
23452,agent,unit,1
23453,agent,unit,1
23454,agent,unit,1
23455,agent,unit,3
23456,agent,unit,3
23457,agent,unit,4
11893,agent,unit,3
11901,agent,unit,2
23460,agent,unit,3
11894,agent,unit,2
23488,agent,unit,3
23489,agent,unit,4
23490,agent,unit,3
23491,agent,unit,3
23492,agent,unit,5
23493,agent,unit,1
23494,agent,unit,4
23495,agent,unit,4
23496,agent,unit,4
23497,agent,unit,4
23498,agent,unit,4
23499,agent,unit,2
23500,agent,unit,2
23501,agent,unit,3
23502,agent,unit,2
23503,agent,unit,4
23504,agent,unit,4
23505,agent,unit,4
23506,agent,unit,4
23507,agent,unit,2
23508,agent,unit,2
23509,agent,unit,2
23510,agent,unit,2
23511,agent,unit,3
23512,agent,unit,4
23513,agent,unit,3
23514,agent,unit,3
23515,agent,unit,1
23516,agent,unit,3
23517,agent,unit,3
23518,agent,unit,3
23519,agent,unit,3
23520,agent,unit,3
23521,agent,unit,5
23522,agent,unit,1
23523,agent,unit,4
23524,agent,unit,4
23525,agent,unit,4
23526,agent,unit,4
11896,agent,unit,4
11885,agent,unit,4
11892,agent,unit,3
11891,agent,unit,2
11899,agent,unit,4
11895,agent,unit,2
23549,agent,unit,2
23550,agent,unit,2
23551,agent,unit,4
23552,agent,unit,2
23553,agent,unit,4
23554,agent,unit,4
23555,agent,unit,2
23556,agent,unit,2
23557,agent,unit,4
23558,agent,unit,4
23559,agent,unit,4
23560,agent,unit,4
23561,agent,unit,4
23562,agent,unit,4
23563,agent,unit,2
23564,agent,unit,4
23565,agent,unit,4
23566,agent,unit,2
23567,agent,unit,2
23568,agent,unit,4
23569,agent,unit,2
23570,agent,unit,4
23571,agent,unit,1
23572,agent,unit,4
23573,agent,unit,3
23574,agent,unit,3
23575,agent,unit,4
23576,agent,unit,4
23577,agent,unit,2
23578,agent,unit,4
23579,agent,unit,4
23580,agent,unit,2
23581,agent,unit,2
23582,agent,unit,4
23583,agent,unit,5
23584,agent,unit,4
11888,agent,unit,4
11887,agent,unit,2
23611,agent,unit,4
23612,agent,unit,4
23613,agent,unit,2
23614,agent,unit,1
23615,agent,unit,2
23616,agent,unit,2
23617,agent,unit,4
23618,agent,unit,4
23619,agent,unit,4
23620,agent,unit,2
23621,agent,unit,4
23622,agent,unit,3
23623,agent,unit,4
23624,agent,unit,4
23625,agent,unit,4
23626,agent,unit,4
23627,agent,unit,4
23628,agent,unit,4
23629,agent,unit,2
23630,agent,unit,2
23631,agent,unit,4
23632,agent,unit,4
23633,agent,unit,4
23634,agent,unit,2
23635,agent,unit,4
23636,agent,unit,4
23637,agent,unit,4
23638,agent,unit,2
23639,agent,unit,2
23640,agent,unit,3
23641,agent,unit,2
11898,agent,unit,4
11886,agent,unit,4
23691,agent,unit,2
23658,agent,unit,2
23659,agent,unit,3
23660,agent,unit,4
23661,agent,unit,4
23662,agent,unit,4
23663,agent,unit,4
23664,agent,unit,4
23665,agent,unit,3
23666,agent,unit,3
